0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.77768,0.01346,29.45027,165.77861,4721.55485,6.77208,14.57438,0.27485,0.27175,1.99192,0.56638,0.85888,0.78275,1.25072,0.98306,0.00047,0.00482,0.00017,0.84040,0.00006,0.24864,160.28135,0.20216,30.66208,0.95794
0.78013,0.00138,29.66691,162.88263,4744.15423,6.38780,13.40277,0.26575,0.25746,1.96586,0.46552,0.86173,0.78265,1.25330,1.03256,0.00046,0.00525,0.00018,0.82850,0.00004,0.24184,156.54537,0.20891,29.22552,0.96777
0.78467,0.02600,29.74186,157.99547,4883.11870,6.80138,14.32728,0.27956,0.25866,1.98258,0.41568,0.86311,0.79621,1.23519,1.04676,0.00046,0.00506,0.00017,0.84361,0.00001,0.24615,158.27671,0.20592,30.65906,0.94242
0.78676,0.01356,29.94673,162.86413,4636.16773,6.71357,13.06604,0.26829,0.27111,2.12405,0.46829,0.87095,0.77589,1.23765,1.01379,0.00045,0.00493,0.00017,0.77715,0.00000,0.24254,157.84777,0.20211,29.43779,0.96447
0.78911,0.00118,29.68160,164.34186,4790.98484,6.71804,14.09696,0.28676,0.27928,1.97394,0.53819,0.86289,0.77680,1.23017,1.04816,0.00048,0.00486,0.00017,0.84600,0.00003,0.23878,155.32705,0.20225,29.91931,0.91336
0.77826,0.03034,29.84600,158.34131,4595.52227,6.75239,14.63890,0.27717,0.27453,2.05932,0.42835,0.87709,0.81943,1.25839,1.07293,0.00047,0.00487,0.00016,0.76846,0.00001,0.23687,160.82717,0.20908,29.94917,0.96049
0.77476,0.00257,29.48993,160.17168,4750.13260,6.74947,13.71085,0.27072,0.26756,2.11156,0.56633,0.86384,0.77076,1.27017,1.04856,0.00046,0.00514,0.00018,0.84123,0.00001,0.24223,160.46280,0.19558,30.58387,0.92079
0.78129,0.00418,29.99119,156.43035,4705.84340,6.38570,14.74650,0.29033,0.28062,2.12063,0.46859,0.86739,0.84757,1.24520,1.01943,0.00046,0.00513,0.00017,0.83610,0.00005,0.24445,162.74911,0.19933,28.93987,0.93923
0.77916,0.00348,29.98494,164.87999,4763.44045,6.39806,13.63085,0.26773,0.27540,1.97498,0.42064,0.86860,0.83990,1.28705,1.01193,0.00048,0.00466,0.00017,0.75505,0.00002,0.24718,160.03070,0.20773,28.63361,0.95729
0.78110,0.02553,29.67221,158.45988,4838.71845,6.81362,14.81485,0.29269,0.27270,2.14408,0.44189,0.85299,0.78317,1.16228,0.98966,0.00046,0.00493,0.00019,0.82163,0.00007,0.23964,158.69628,0.19584,28.79440,0.97117
0.77467,0.00002,29.45382,157.78361,4657.63246,6.72651,13.80519,0.29278,0.26642,1.97168,0.54569,0.86326,0.79258,1.15923,0.97391,0.00048,0.00495,0.00017,0.80802,0.00009,0.23770,156.62900,0.22210,29.05721,0.93606
0.78598,0.00190,29.89413,157.93920,4865.38326,6.78918,13.65825,0.26868,0.27608,2.13777,0.49006,0.87103,0.77607,1.23947,1.01770,0.00047,0.00475,0.00017,0.82212,0.00010,0.24995,159.45529,0.21077,30.33278,0.94237
0.77233,0.00323,29.75843,154.86812,4750.30790,6.86339,14.31007,0.26925,0.25942,2.12012,0.48217,0.86219,0.81070,1.21060,1.02360,0.00047,0.00500,0.00016,0.83789,0.00002,0.23863,154.39090,0.20661,29.53873,0.92290
0.76781,0.00090,29.99433,161.90793,4628.42213,6.75591,14.89418,0.28498,0.26492,1.99025,0.53056,0.86865,0.81937,1.19183,1.02999,0.00046,0.00486,0.00017,0.75287,0.00002,0.24160,155.53319,0.21617,28.31559,0.95592
0.78105,0.01001,29.62473,165.35043,4802.89847,6.61207,13.06558,0.28326,0.27721,2.08858,0.43269,0.85918,0.78973,1.25424,1.00721,0.00047,0.00519,0.00016,0.84673,0.00002,0.24081,158.22482,0.21755,31.17251,0.95468
