0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.23156,9.01502,0.00997,0.00955,548.98090,14104.07533,5.47835,23.28131,0.31386,0.42831,0.34251,2.10341,0.65014,0.81931,0.58433,0.96937,0.92417,0.00063,0.00678,0.00024,0.07551,0.03492,0.89185,1.15814,8.51596,4.15117,142.55876,0.54702,0.92828,23.37069,35.75509
0.27183,8.90090,0.00883,0.01008,559.97268,14081.74072,5.39748,20.68681,0.31907,0.38322,0.32782,1.97111,0.61895,0.80948,0.58472,0.89580,0.90019,0.00064,0.00745,0.00023,0.07763,0.03470,0.68679,1.04394,8.23518,3.97832,130.37604,0.66654,0.95107,23.44779,32.98757
0.25401,11.44918,0.00854,0.01041,596.12880,14550.81565,5.41521,22.75481,0.37050,0.41565,0.37060,2.10679,0.66415,0.82510,0.58401,1.03573,0.88270,0.00068,0.00714,0.00019,0.07094,0.03472,0.74236,1.08272,8.44635,3.95690,122.24024,0.59756,0.91341,23.35701,33.57766
0.24991,10.78124,0.00821,0.00954,559.96637,14286.09496,6.09799,23.57531,0.35152,0.34805,0.36548,1.87709,0.65140,0.81592,0.58661,0.97804,0.88958,0.00066,0.00707,0.00024,0.07010,0.03399,0.73092,1.07069,8.96230,3.72153,122.40282,0.65212,0.87686,23.33639,38.14351
0.24850,8.94666,0.00938,0.00907,576.21217,15194.12407,5.38205,22.63128,0.31375,0.34242,0.34181,1.89555,0.69477,0.78511,0.62135,0.91921,0.85708,0.00068,0.00686,0.00024,0.07131,0.03481,0.81113,1.06516,8.65443,4.03285,137.60825,0.70121,0.96149,23.39300,33.25611
0.23283,8.92532,0.00971,0.00963,499.67017,13751.36945,5.61710,19.97962,0.31909,0.35871,0.33426,2.15227,0.67554,0.84523,0.57890,0.81978,0.87008,0.00063,0.00748,0.00024,0.08235,0.03413,0.71011,1.07215,9.28702,4.29896,134.70471,0.71825,0.95667,23.16255,31.73014
0.28005,9.63765,0.00928,0.00992,521.23396,15061.32829,5.41889,22.72055,0.31956,0.38390,0.35336,2.05036,0.66181,0.78732,0.62132,0.96956,0.92476,0.00061,0.00688,0.00021,0.06775,0.03359,0.74887,1.05482,9.10499,4.16622,155.01977,0.64306,0.79109,21.33239,31.53387
0.25784,10.25033,0.00884,0.00983,517.26778,14599.93053,5.54993,23.89536,0.31859,0.32954,0.38918,2.10425,0.66891,0.85080,0.60273,0.83320,0.94609,0.00059,0.00702,0.00023,0.07725,0.03411,0.70316,1.11859,8.78952,4.24459,156.72508,0.55812,0.92127,23.32325,31.39206
0.24337,9.02895,0.00884,0.01021,531.29697,13332.69609,5.45294,22.59865,0.31023,0.38620,0.33824,2.00480,0.73019,0.74501,0.60664,0.99096,0.90538,0.00061,0.00731,0.00024,0.06973,0.03453,0.79367,1.10044,8.59854,4.14439,122.94854,0.70065,0.94744,20.90713,35.65522
0.23706,9.00660,0.00856,0.00954,486.49229,12894.05602,5.36705,20.67054,0.32497,0.40042,0.35260,2.03339,0.70296,0.82026,0.57875,0.88093,0.88429,0.00062,0.00756,0.00024,0.08039,0.03477,0.73749,0.96257,7.80719,4.02288,149.69085,0.61353,0.77909,23.07728,38.72239
0.26284,8.97760,0.00862,0.00930,567.69018,14403.63010,5.34461,23.46694,0.38121,0.36641,0.35188,1.96541,0.64076,0.78675,0.57784,0.98117,0.92988,0.00065,0.00668,0.00024,0.07175,0.03473,0.75040,1.09120,7.84138,3.91814,127.56408,0.66170,0.73271,23.27489,34.34037
0.26600,8.94707,0.00917,0.00992,536.85496,12950.57278,5.62805,20.26971,0.31250,0.41800,0.32125,2.12647,0.64179,0.78053,0.59812,0.88809,0.93955,0.00064,0.00657,0.00020,0.06794,0.02939,0.74352,1.05380,7.95799,4.39347,135.10309,0.72799,0.96662,23.27216,36.83409
0.24801,9.05759,0.00819,0.00923,528.39225,13570.00643,5.73346,21.22592,0.33101,0.37792,0.36388,1.83193,0.67219,0.81983,0.58238,1.02591,0.90983,0.00052,0.00668,0.00024,0.08133,0.02751,0.89734,1.13605,8.66166,3.98645,135.59501,0.64210,0.96298,23.37564,34.72546
0.21999,8.93149,0.00827,0.01013,486.11162,14018.29616,5.58962,23.18173,0.31351,0.37368,0.35582,2.04593,0.73007,0.82202,0.58727,0.85430,0.90071,0.00057,0.00705,0.00024,0.07209,0.03460,0.85981,1.07979,8.36571,3.59751,124.46456,0.73766,0.94937,23.27913,38.39429
0.23911,9.19496,0.00989,0.01030,514.00680,13531.93370,5.59716,22.83938,0.34535,0.42825,0.37321,2.11613,0.68128,0.82794,0.60186,0.93727,0.91017,0.00057,0.00727,0.00022,0.08235,0.03497,0.76700,1.07361,7.68458,4.02925,137.23208,0.66288,0.95627,23.36512,37.64703
