day	pool	valua	error	-	first	line	is	nr	of	datalines!
99										
180	0	15.1	3.02							
545	0	15.1	3.02							
910	0	15.1	3.02							
1275	0	15.1	3.02							
1640	0	15.1	3.02							
2005	0	15.1	3.02							
2370	0	15.1	3.02							
2735	0	15.1	3.02							
3100	0	15.1	3.02							
180	1	15.1	3.02							
545	1	15.1	3.02							
910	1	15.1	3.02							
1275	1	15.1	3.02							
1640	1	15.1	3.02							
2005	1	15.1	3.02							
2370	1	15.1	3.02							
2735	1	15.1	3.02							
3100	1	15.1	3.02							
180	2	160	32							
545	2	160	32							
910	2	160	32							
1275	2	160	32							
1640	2	160	32							
2005	2	160	32							
2370	2	160	32							
2735	2	160	32							
3100	2	160	32							
180	3	0.1	0.02							
545	3	0.1	0.02							
910	3	0.1	0.02							
1275	3	0.1	0.02							
1640	3	0.1	0.02							
2005	3	0.1	0.02							
2370	3	0.1	0.02							
2735	3	0.1	0.02							
3100	3	0.1	0.02							
180	4	0.8	0.16							
545	4	0.8	0.16							
910	4	0.8	0.16							
1275	4	0.8	0.16							
1640	4	0.8	0.16							
2005	4	0.8	0.16							
2370	4	0.8	0.16							
2735	4	0.8	0.16							
3100	4	0.8	0.16							
180	5	0.6	0.12							
545	5	0.6	0.12							
910	5	0.6	0.12							
1275	5	0.6	0.12							
1640	5	0.6	0.12							
2005	5	0.6	0.12							
2370	5	0.6	0.12							
2735	5	0.6	0.12							
3100	5	0.6	0.12							
180	6	0.2	0.04							
545	6	0.2	0.04							
910	6	0.2	0.04							
1275	6	0.2	0.04							
1640	6	0.2	0.04							
2005	6	0.2	0.04							
2370	6	0.2	0.04							
2735	6	0.2	0.04							
3100	6	0.2	0.04							
180	7	0.2	0.04							
545	7	0.2	0.04							
910	7	0.2	0.04							
1275	7	0.2	0.04							
1640	7	0.2	0.04							
2005	7	0.2	0.04							
2370	7	0.2	0.04							
2735	7	0.2	0.04							
3100	7	0.2	0.04							
180	8	0.4	0.04							
545	8	0.4	0.04							
910	8	0.4	0.04							
1275	8	0.4	0.04							
1640	8	0.4	0.04							
2005	8	0.4	0.04							
2370	8	0.4	0.04							
2735	8	0.4	0.04							
3100	8	0.4	0.04							
180	9	2680	335							
545	9	2680	335							
910	9	2680	335							
1275	9	2680	335							
1640	9	2680	335							
2005	9	2680	335							
2370	9	2680	335							
2735	9	2680	335							
3100	9	2680	335							
180	10	11470	1433.75							
545	10	11470	1433.75							
910	10	11470	1433.75							
1275	10	11470	1433.75							
1640	10	11470	1433.75							
2005	10	11470	1433.75							
2370	10	11470	1433.75							
2735	10	11470	1433.75							
3100	10	11470	1433.75							
