bact_rhiz_rel,fungi_rhiz_rel,DOM_EC,DEATHrhiz,DEATHbulk,KSrhiz,KSbulk,kPOM_MAOM,kMAOMs_MAOMp,MAOMpmaxrate,MAOMsmaxrate,MAOMmaxrate,MAOMratioSP,maxEffectMicMAOM,maxEffectSA_MAOM,maxEffectN_MAOM,MM_N_MAOM,MM_Mic_MAOM,MM_SA_MAOM,MM_DOM_MAOM,Priming_max,RESPbulk,RESPrhiz,fSOM,availDOMtobulk,availDOMtorhiz,GMAXrhiz,GMAXbulk,MBini,FBini,pCN,DOMini,CN_DOMini
0.27462,0.06131,13.54513,0.00988,0.00918,497.38328,15059.26975,4.82597,21.53106,0.33215,0.37587,0.26934,2.18724,0.63709,0.82114,0.53756,1.01492,0.83317,0.00068,0.00624,0.00020,0.06935,0.03002,0.74981,0.00004,0.99918,7.57982,4.13591,146.63858,0.71130,0.83599,21.55964,33.48792
0.27556,0.05316,11.49496,0.01024,0.01044,486.93318,14888.86158,5.01539,19.75711,0.37762,0.38383,0.27954,1.97443,0.62582,0.84786,0.58796,1.03724,0.85071,0.00071,0.00611,0.00019,0.06163,0.02977,0.75031,0.00007,0.94846,7.31250,4.01754,138.62542,0.71932,0.73574,17.17457,32.88384
0.30117,0.07493,13.59279,0.00976,0.00911,492.27370,15775.66645,4.77828,21.76796,0.30982,0.40890,0.38198,1.92286,0.58607,0.77902,0.55079,1.01312,0.87849,0.00063,0.00625,0.00020,0.06180,0.03044,0.69494,0.00005,0.93491,7.31545,4.29520,156.34770,0.54931,0.71746,15.60755,33.95623
0.30099,0.07126,11.29371,0.00996,0.00975,512.25761,15932.12469,5.36835,22.11599,0.31106,0.37753,0.31724,2.14583,0.61029,0.78785,0.52804,1.04782,0.96877,0.00072,0.00647,0.00018,0.06942,0.03103,0.79710,0.00009,0.95365,7.34482,4.33968,146.27440,0.67446,0.73058,21.92049,32.97948
0.28717,0.04285,10.24176,0.01000,0.00932,481.14503,14935.04979,5.14323,21.30542,0.33110,0.39466,0.38615,2.05170,0.63270,0.82651,0.57642,1.03129,0.83206,0.00074,0.00681,0.00020,0.06102,0.02580,0.72287,0.00003,0.90303,7.91775,4.31310,127.51027,0.68772,0.85381,20.62113,30.88757
0.26311,0.06544,10.77605,0.00996,0.00997,518.50089,15841.57541,5.05989,20.44194,0.31731,0.39118,0.32122,2.02006,0.60993,0.59590,0.58816,1.00775,0.82010,0.00073,0.00687,0.00019,0.06259,0.02908,0.68101,0.00009,0.99578,7.44572,3.94292,196.08645,0.55350,0.70858,22.49053,32.91442
0.28221,0.07712,10.10437,0.00990,0.00927,506.57190,15169.76336,5.06060,21.95409,0.33389,0.38278,0.35619,2.16938,0.55931,0.85989,0.51310,1.05711,0.86532,0.00073,0.00679,0.00020,0.06100,0.02965,0.66137,0.00026,0.92786,7.19288,4.17362,136.79618,0.71612,0.75206,19.65797,33.40182
0.27305,0.07762,11.92457,0.01043,0.00856,488.74796,14593.81620,5.64109,22.12240,0.33833,0.40017,0.31880,2.13793,0.55863,0.85080,0.53121,1.06907,0.83963,0.00067,0.00605,0.00019,0.06265,0.03043,0.74874,0.00006,0.97825,7.14114,4.00976,155.16485,0.67200,0.78806,19.50092,32.20182
0.28941,0.04873,12.52627,0.00971,0.01014,509.91001,15644.47881,5.58028,21.60768,0.33226,0.40875,0.30447,2.02031,0.56117,0.81243,0.58074,1.00487,0.86663,0.00068,0.00619,0.00019,0.07411,0.02921,0.75995,0.00004,0.92742,6.89604,4.30943,141.81959,0.61408,0.70018,16.50936,32.71212
0.26613,0.05392,12.21728,0.01024,0.00939,546.60833,15790.31206,4.93263,21.57811,0.36783,0.38303,0.39452,1.96777,0.61555,0.75084,0.51751,0.97039,0.87098,0.00063,0.00626,0.00019,0.06307,0.02732,0.66646,0.00002,0.97537,8.28426,4.14268,130.27859,0.69779,0.74672,16.60218,31.78900
0.28167,0.05805,10.39411,0.00990,0.00989,505.11428,15841.72613,5.26430,22.30590,0.31678,0.41221,0.35096,1.96071,0.58218,0.82448,0.53764,1.01205,0.85399,0.00071,0.00636,0.00019,0.06272,0.03048,0.66383,0.00020,0.99264,7.73968,4.02697,129.62651,0.60743,0.79237,22.42681,32.99564
0.27373,0.06480,10.22018,0.01009,0.00999,498.99976,15152.35281,5.28810,20.85789,0.32931,0.42473,0.38573,2.04227,0.64469,0.83196,0.52142,1.02451,0.84845,0.00070,0.00664,0.00020,0.07132,0.02509,0.67049,0.00005,0.92472,7.78812,4.30557,136.82250,0.57144,0.72677,18.18869,33.40587
0.28209,0.05847,13.73308,0.01044,0.00961,496.66280,15502.25301,5.18343,20.65464,0.37348,0.39783,0.28218,1.94728,0.57492,0.84265,0.53929,1.00002,0.85990,0.00067,0.00679,0.00020,0.06454,0.02833,0.73047,0.00008,0.99861,6.81187,4.11869,139.63703,0.52902,0.78426,15.29552,34.33743
0.27183,0.04446,12.98202,0.01000,0.00854,512.80786,15728.54609,5.80878,21.50572,0.34594,0.39798,0.35547,2.20225,0.59918,0.84664,0.57638,1.03841,0.88262,0.00062,0.00679,0.00019,0.06121,0.03057,0.79211,0.00015,0.93411,6.87257,4.24640,150.54944,0.71124,0.69802,22.29280,33.47684
0.27546,0.05622,13.04871,0.01067,0.00987,521.70808,16322.06435,5.30788,22.03163,0.35741,0.40510,0.37547,2.06750,0.62553,0.62131,0.55107,1.07226,0.86525,0.00063,0.00677,0.00019,0.06690,0.02990,0.69476,0.00012,0.96573,7.66934,4.05441,131.27781,0.73487,0.85208,22.37893,31.70170
