0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.35595,9.08210,0.01009,0.00701,487.83996,16156.48684,5.49741,17.52020,0.31151,0.38491,0.27991,1.89174,0.62559,0.85847,0.54286,0.93188,0.71521,0.00054,0.00637,0.00017,0.07472,0.03137,0.72405,1.00552,7.69781,3.50850,121.95611,0.48365,0.81659,22.73407,32.34074
0.28251,8.98301,0.00838,0.00858,458.31550,15723.68304,5.22660,20.84084,0.34191,0.39402,0.32961,2.11204,0.61297,0.87406,0.53440,0.95300,0.81163,0.00059,0.00594,0.00018,0.07700,0.03013,0.63152,0.93037,8.56476,4.09037,149.44525,0.57811,0.79284,23.37009,35.26741
0.27274,11.41975,0.00972,0.00891,514.02954,15618.75745,5.53017,19.29781,0.33537,0.43025,0.35390,1.72830,0.59254,0.85570,0.50912,0.99712,0.69901,0.00066,0.00561,0.00018,0.07365,0.03137,0.66125,0.94863,7.55233,3.25020,129.68191,0.51559,0.75643,21.82559,35.94889
0.27009,11.26060,0.00905,0.00794,490.91018,15225.56312,5.18500,20.67942,0.34942,0.38170,0.30393,1.87793,0.51966,0.87167,0.53537,1.01107,0.68836,0.00053,0.00619,0.00018,0.07916,0.02778,0.61031,0.97005,7.73240,3.28177,132.61631,0.55083,0.81005,23.13778,33.53809
0.28111,9.29730,0.01235,0.00704,491.52225,15031.32777,5.09946,17.68883,0.36019,0.42324,0.29869,1.86786,0.62769,0.84549,0.51365,0.95945,0.83662,0.00053,0.00575,0.00017,0.07652,0.03038,0.64134,1.02326,7.01000,3.35434,141.73697,0.53408,0.83355,22.96524,37.94334
0.28524,10.25610,0.00952,0.00834,550.27273,15251.42762,5.58491,20.73036,0.34648,0.42793,0.26247,1.83656,0.48802,0.85590,0.50809,0.99883,0.89945,0.00052,0.00628,0.00018,0.06654,0.02474,0.62411,0.95100,7.87172,3.16810,123.37317,0.54279,0.93903,23.45441,33.71313
0.29273,11.58404,0.00924,0.00706,527.20095,18536.04292,5.32152,20.08725,0.33741,0.38073,0.27527,1.99432,0.48935,0.85651,0.56420,1.02639,0.88460,0.00051,0.00612,0.00018,0.07301,0.03083,0.63972,1.00218,7.81536,3.15421,122.37465,0.47806,0.80763,21.35444,37.68980
0.28767,9.82497,0.01220,0.00771,561.62960,16122.01117,5.01098,16.10428,0.33069,0.40230,0.34783,2.10811,0.61148,0.84711,0.55990,1.17533,0.70719,0.00067,0.00628,0.00016,0.07235,0.03207,0.70496,0.91944,7.43370,3.31583,123.06211,0.48432,0.87209,23.24497,35.81888
0.35360,11.32955,0.01019,0.00832,515.00979,17789.30670,5.40053,20.78561,0.34163,0.35628,0.26275,2.01544,0.45773,0.85685,0.53860,1.00523,0.71832,0.00063,0.00575,0.00017,0.07627,0.03161,0.70628,0.92416,7.85457,3.43211,132.30075,0.55184,0.93790,21.95086,33.63321
0.28760,10.32700,0.00879,0.00810,523.17853,17544.78582,5.76457,19.13354,0.32421,0.42712,0.33633,2.22178,0.55649,0.85762,0.54589,0.95626,0.69678,0.00054,0.00618,0.00016,0.07705,0.02804,0.64889,0.95392,8.37663,3.83940,122.32607,0.51000,0.74907,22.81911,31.98601
0.28693,9.47223,0.00983,0.00849,516.67326,15419.11789,5.60896,20.10695,0.37934,0.39957,0.34479,1.82249,0.45225,0.84625,0.52670,0.97969,0.73210,0.00059,0.00610,0.00018,0.07520,0.02475,0.64105,0.94618,8.03235,3.26493,162.03786,0.55145,0.89549,23.41782,33.45984
0.31777,9.06842,0.01043,0.00863,515.70755,16775.17743,5.12469,20.05536,0.32431,0.39214,0.32791,1.97067,0.60976,0.84605,0.55092,1.05826,0.91453,0.00058,0.00571,0.00017,0.07377,0.02641,0.68227,1.00882,8.01474,3.65907,123.21421,0.54347,0.92105,21.93260,37.90312
0.30875,11.77580,0.00941,0.00725,533.77212,15024.17788,5.21485,19.90844,0.33112,0.40491,0.32605,2.01120,0.46492,0.85422,0.55769,1.00272,0.82222,0.00059,0.00641,0.00019,0.07371,0.03163,0.68304,0.90477,7.71583,3.31329,122.60229,0.47393,0.78665,23.40314,35.78056
0.35498,9.14256,0.00873,0.00750,524.65119,15649.34065,5.28447,18.15484,0.35277,0.37436,0.26449,1.91177,0.62895,0.84658,0.55871,0.96738,0.72384,0.00054,0.00637,0.00017,0.07713,0.03149,0.66508,0.95071,6.89278,3.46548,132.15294,0.52359,0.92262,20.10413,33.65180
0.26523,9.46119,0.00893,0.00926,519.72048,16869.00308,5.41278,17.18172,0.33638,0.42577,0.26278,1.89248,0.45855,0.84812,0.54200,0.94056,0.92634,0.00064,0.00611,0.00018,0.07328,0.03143,0.62733,0.95734,7.57666,4.12620,135.44588,0.55173,0.79183,23.34876,32.10445
