0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.85072,0.21321,16.61925,201.89786,5919.98493,6.62627,16.05282,0.31746,0.21925,2.03533,0.46710,0.87934,0.79802,1.41616,0.71867,0.00062,0.00593,0.00015,0.73727,0.00002,0.15543,129.44546,0.18338,22.36259,0.46485
0.84514,0.15189,17.14665,211.65003,5801.84550,8.18791,10.64690,0.32533,0.19669,1.78937,0.44814,0.90472,0.83531,1.27931,1.02579,0.00053,0.00514,0.00014,0.78649,0.00003,0.15498,130.08577,0.15568,32.61081,0.38534
0.83292,0.19936,17.49491,211.38349,5669.83285,7.18478,12.51573,0.29920,0.23738,1.63905,0.45138,0.87327,0.81477,1.32447,0.74810,0.00050,0.00542,0.00012,0.77652,0.00000,0.15528,133.26140,0.15091,20.01822,0.92247
0.84700,0.19613,16.60654,205.61592,5623.94143,6.26002,14.64385,0.32147,0.25756,1.85999,0.46421,0.89789,0.77725,1.52086,0.92636,0.00052,0.00546,0.00012,0.79493,0.00002,0.15503,175.80743,0.17584,20.76530,0.97242
0.83043,0.10781,16.95887,217.05060,5827.70790,6.13265,14.03148,0.30539,0.24749,1.73889,0.47207,0.86542,0.85627,1.55227,0.96645,0.00055,0.00539,0.00013,0.74394,0.00001,0.15515,164.73411,0.19002,18.70627,0.37057
0.84548,0.18787,16.58105,196.75613,5584.92631,7.57219,9.14456,0.30701,0.23161,1.72184,0.41047,0.89860,0.77746,1.32321,0.95665,0.00049,0.00556,0.00016,0.79666,0.00004,0.15594,132.72742,0.18362,19.53079,0.73775
0.83807,0.20140,18.26613,200.35550,5789.35771,6.31457,8.90532,0.31040,0.19761,1.87861,0.44913,0.87680,0.84583,1.48160,0.85505,0.00062,0.00549,0.00012,0.74445,0.00002,0.15565,136.13277,0.15154,19.60038,0.88408
0.81025,0.17300,17.78329,192.42249,5753.11504,6.39624,11.35729,0.31273,0.25133,1.91946,0.46528,0.90145,0.76726,1.54287,1.17158,0.00063,0.00553,0.00018,0.79589,0.00000,0.15685,135.33270,0.15010,19.04047,0.36206
0.83498,0.19969,17.14005,217.30700,5370.18041,6.41879,8.94653,0.30297,0.19420,1.64177,0.41142,0.86626,0.85093,1.31924,0.83270,0.00052,0.00558,0.00013,0.73132,0.00001,0.15570,129.50610,0.15327,18.44293,0.49000
0.83358,0.19069,16.73024,202.45382,5476.85186,6.00553,9.29006,0.34117,0.16197,1.70875,0.47350,0.89741,0.75143,1.33064,1.06575,0.00051,0.00596,0.00011,0.70281,0.00000,0.15683,131.10875,0.15123,22.90026,0.40457
0.83586,0.18139,17.50335,207.75605,5907.26749,7.83530,9.53768,0.31394,0.20772,2.03345,0.47164,0.87249,0.83003,1.48785,0.82109,0.00055,0.00541,0.00012,0.76770,0.00001,0.15517,146.10619,0.16164,22.48736,0.44469
0.82618,0.15082,16.58250,206.99763,5554.16318,6.30933,8.72487,0.29712,0.19643,1.69636,0.55171,0.88243,0.78290,1.54054,0.90116,0.00048,0.00490,0.00014,0.73455,0.00001,0.15503,144.09758,0.20971,20.83115,0.96160
0.80161,0.17760,17.36335,208.34702,5813.61606,6.92045,11.03491,0.32390,0.21346,1.92188,0.47284,0.87431,0.81116,1.29419,0.69903,0.00054,0.00601,0.00012,0.79746,0.00000,0.15549,137.23029,0.18725,19.17914,0.92312
0.84682,0.18123,17.09642,198.09570,5803.74254,5.93647,10.32147,0.30359,0.22188,1.83934,0.47218,0.87032,0.79918,1.48104,0.75147,0.00050,0.00540,0.00013,0.76711,0.00001,0.15526,143.97494,0.15447,19.60319,0.70041
0.80073,0.16558,16.68747,205.79488,5885.43017,7.74568,13.53360,0.30930,0.17319,1.89835,0.53313,0.88901,0.81451,1.58402,0.70140,0.00050,0.00551,0.00016,0.78061,0.00000,0.15503,129.59137,0.15234,27.00651,0.61446
