0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.30001,10.06157,0.01081,0.00703,499.66007,15753.66205,6.54063,21.69062,0.35890,0.40563,0.34938,1.85235,0.59070,0.87286,0.52729,0.83852,0.92884,0.00081,0.00660,0.00019,0.06609,0.02222,0.70375,0.83026,8.59228,4.15408,142.80465,0.47638,0.79179,23.32372,26.38119
0.32953,10.34180,0.01296,0.00882,484.03666,18441.04980,6.35474,20.22305,0.33096,0.41111,0.35278,1.72710,0.69982,0.84959,0.50546,0.76381,0.84909,0.00074,0.00598,0.00019,0.08051,0.02921,0.79573,0.77356,7.94618,3.14807,146.67252,0.48677,0.73723,23.02008,24.76362
0.27701,11.89832,0.01109,0.00703,504.83113,17074.66868,5.70478,21.34904,0.36620,0.36861,0.37423,1.70508,0.67584,0.87401,0.51870,1.00155,0.81375,0.00082,0.00662,0.00015,0.07584,0.02204,0.88561,0.78892,8.26504,3.90441,122.03394,0.47601,0.81821,20.85113,24.82010
0.35480,9.61792,0.00992,0.00801,522.57500,17491.47213,6.57040,21.21868,0.37927,0.41338,0.36150,1.73092,0.68851,0.85359,0.51168,0.76344,0.91710,0.00084,0.00689,0.00019,0.07499,0.02151,0.75320,0.85090,7.67132,3.17090,146.86338,0.47569,0.73258,21.00614,25.94010
0.28933,11.20482,0.01167,0.00815,512.59901,15627.44850,5.05951,20.50489,0.36528,0.43508,0.35625,1.82390,0.68243,0.76821,0.51242,0.93535,0.90110,0.00075,0.00639,0.00018,0.07191,0.02161,0.78252,0.89750,8.14323,3.14609,122.32324,0.47186,0.74967,23.44734,29.49806
0.29590,10.22991,0.01256,0.00704,506.10043,16383.23077,6.56692,20.72967,0.38330,0.41111,0.29898,2.05445,0.65560,0.86743,0.51475,1.00944,0.89196,0.00083,0.00667,0.00016,0.07102,0.02965,0.84275,0.86193,7.43209,4.08452,122.44214,0.47258,0.71354,21.83417,27.33023
0.30107,11.66398,0.01237,0.00726,508.46601,16910.83862,5.62506,20.04076,0.37970,0.42840,0.32238,2.10549,0.66222,0.86784,0.52055,0.98841,0.95318,0.00078,0.00633,0.00016,0.07707,0.02174,0.82998,0.80107,7.71265,3.93979,151.51183,0.63351,0.75572,23.34306,25.21312
0.28291,11.34440,0.00989,0.00701,457.43010,15909.82384,6.29704,20.07484,0.33101,0.39653,0.36283,1.62428,0.71643,0.88042,0.55021,0.80635,0.88479,0.00079,0.00641,0.00017,0.07206,0.02571,0.88546,0.91682,8.03624,3.55991,158.40943,0.48103,0.77937,20.60086,26.86657
0.35282,10.76476,0.01069,0.00701,443.20320,17196.74295,5.95057,19.55167,0.36279,0.39170,0.36865,1.64782,0.61738,0.87980,0.50844,0.97491,0.91369,0.00079,0.00728,0.00020,0.07192,0.02246,0.79524,0.73339,7.91643,3.13937,145.42857,0.48417,0.77472,20.92708,27.10462
0.35538,10.68990,0.01300,0.00700,485.38388,15100.31200,6.44163,22.37851,0.33898,0.39331,0.35549,1.81759,0.71609,0.88256,0.53646,1.01147,0.89885,0.00080,0.00672,0.00016,0.07379,0.02934,0.82335,0.78848,7.97454,3.27320,156.72788,0.49353,0.68970,21.35442,27.27815
0.35364,10.58771,0.01264,0.00703,486.15843,18551.60490,6.44427,20.15086,0.38580,0.35716,0.32319,1.93943,0.68845,0.85373,0.48577,0.95707,0.83566,0.00078,0.00732,0.00019,0.07927,0.03013,0.78969,0.88300,7.30957,3.16247,125.35463,0.48141,0.68311,20.22831,30.77492
0.35563,10.41075,0.00993,0.00711,487.50115,15701.59818,6.27792,21.95949,0.38186,0.40831,0.35191,1.63344,0.71677,0.86471,0.54433,1.02376,0.90805,0.00066,0.00650,0.00020,0.07280,0.02311,0.83508,0.93514,8.24109,3.25559,122.74904,0.57350,0.77341,20.98120,25.40503
0.34968,10.82875,0.01250,0.00707,502.97614,17072.64267,6.19044,19.96594,0.37288,0.38292,0.33908,1.60538,0.73418,0.88463,0.52415,0.78087,0.89194,0.00082,0.00553,0.00020,0.06904,0.02166,0.76264,0.78637,8.42564,3.15099,142.42398,0.49126,0.71715,19.05347,27.23147
0.35561,10.06807,0.00986,0.00706,443.41601,18685.27916,6.32216,20.80134,0.39061,0.37232,0.36463,1.66770,0.67270,0.86655,0.49828,0.81533,0.95516,0.00066,0.00580,0.00018,0.08276,0.02861,0.69028,0.78564,8.33341,3.49707,136.83313,0.48533,0.81381,21.03395,25.81028
0.35572,11.64823,0.01122,0.00707,492.80421,16234.42172,6.58976,20.73415,0.35031,0.37912,0.38436,1.75008,0.65594,0.86502,0.45869,0.91730,0.90711,0.00080,0.00749,0.00017,0.07070,0.02621,0.88191,0.70553,7.82807,3.13485,155.74222,0.51294,0.78464,20.58001,26.15873
